circlename,regionname,divisionname,officename,pincode,district,statename,latitude,longitude
Telangana Circle,Hyderabad Region,Hanamkonda Division,Vemulapalli B.O,506366,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.27786,79.6122286
Telangana Circle,Hyderabad Region,Hanamkonda Division,Abbapur B.O,506343,Mulugu,TELANGANA,18.1662582,79.9346789
Telangana Circle,Hyderabad Region,Hanamkonda Division,Bandarupalli B.O,506343,Mulugu,TELANGANA,18.1662582,79.9346789
Telangana Circle,Hyderabad Region,Hanamkonda Division,Narlapur B.O,506391,WARANGAL,TELANGANA,18.2414939,79.6011127
Telangana Circle,Hyderabad Region,Hanamkonda Division,Mustialpalli B.O,506391,WARANGAL,TELANGANA,18.15993,79.61432
Telangana Circle,Hyderabad Region,Hanamkonda Division,Oorattam B.O,506347,Mulugu,TELANGANA,18.3228717,80.2191091
Telangana Circle,Hyderabad Region,Hanamkonda Division,Bittupalli B.O,506347,Mulugu,TELANGANA,18.1910045,80.1690875
Telangana Circle,Hyderabad City Region,Medak Division,Narlapur BO,502102,MEDAK,TELANGANA,18.074595,78.540842
Telangana Circle,Hyderabad Region,Hanamkonda Division,Kothapalli v B.O,506170,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.367978,79.7826
Telangana Circle,Hyderabad Region,Hanamkonda Division,Ramannagudem B.O,506348,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.251473,79.8563815
Telangana Circle,Hyderabad Region,Hanamkonda Division,Repakpalli B.O,506348,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2827041,79.7147792
Telangana Circle,Hyderabad Region,Hanamkonda Division,Dammannapet B.O,506348,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2344293,79.735223
Telangana Circle,Hyderabad Region,Hanamkonda Division,Ramannagudem B.O,506165,Mulugu,TELANGANA,18.338921,80.4302319
Telangana Circle,Hyderabad Region,Hanamkonda Division,Sultanpur B.O,506348,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.2018606,79.8079134
Telangana Circle,Hyderabad Region,Hanamkonda Division,Nizampalli B.O,506348,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.16565,79.81096
Telangana Circle,Hyderabad Region,Hanamkonda Division,Gatlakaniparthy B.O,506319,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.1340162,79.6803943
Telangana Circle,Hyderabad Region,Hanamkonda Division,Taharapur B.O,506319,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.1269062,79.7084366
